barcode,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22
cell_0101,1.0059952,1.0025525,0.9925025,1.0316344,1.103279,0.9315833,1.0161053,0.9081634,1.0400552,1.0211228,0.96917844,1.0186372,0.99306655,1.1719564,1.0596325,0.98646903,0.94837874,1.0136545,1.029235,0.9668178,1.1813554,0.86473054
cell_0102,1.0562435,0.8631504,1.0307963,0.8868114,1.0069283,0.9776511,1.0205852,0.9835285,1.0577552,0.94577825,1.1205009,0.88181126,0.93965614,1.0977051,0.9900583,1.1133589,0.9370488,0.9025565,1.0396354,0.99725527,0.8743434,1.1220561
cell_0103,1.1020617,1.0332301,1.0464661,1.0590074,0.9367469,1.1516984,0.9123212,1.0191944,0.88989776,1.0020022,0.94996375,1.1053323,0.91239727,0.8981639,0.8554873,1.0419421,0.86282307,0.96032405,0.91552675,0.8166154,0.90440553,0.9926828
cell_0104,1.0748765,1.0548588,0.94720495,0.8387397,0.94808495,0.96461713,1.0518725,1.152749,1.0409236,1.0468618,0.96624166,1.0523108,1.0111141,0.9952362,1.0745922,1.0664902,0.9962696,0.97297734,0.97939885,0.97997046,1.1380935,0.8974321
cell_0105,1.0260445,1.0753543,0.93957436,0.9939593,1.0419394,1.0163532,0.8975192,1.0926143,0.89180166,1.0297648,1.0672878,0.96938485,1.0507101,1.1954277,0.87736845,0.90680486,0.8163789,0.9632916,0.98490965,1.0305762,0.9933794,0.92919964
cell_0106,0.99431044,0.95606285,0.97793776,1.0813562,1.0073018,0.9491588,1.1078091,1.114692,1.0622327,0.97636336,0.92738104,0.9112604,1.0169647,1.1383938,1.0308808,1.0340173,0.9874544,1.1545358,1.0016732,0.8697133,0.8311963,0.94956464
cell_0107,1.0256908,1.0055825,1.0088514,1.0329475,1.0033529,1.0959712,0.9477456,0.9241174,1.0181047,0.9956678,1.000493,1.0112522,0.9611465,0.9991806,0.90032804,1.0921264,0.9278304,1.0728737,0.9802928,0.972492,1.001922,1.0859538
cell_0108,0.98174256,0.9471629,0.9896448,0.9830932,0.9177878,0.9746307,1.0676305,1.0542915,1.0359175,1.0047106,0.9925836,1.1071901,1.0675888,1.0709696,0.9043877,0.9987459,0.9021239,1.0581166,1.0858004,0.9966454,1.1595975,1.0775267
cell_0109,0.9299982,0.84141225,0.99325556,1.0588386,1.0984472,0.9211857,0.9759567,1.0999963,1.0215247,1.0162268,0.9931472,1.0546789,0.83744603,1.0188061,1.0771171,0.9653953,0.9419854,0.978062,1.08335,0.98752767,0.8604834,0.73214436
cell_0110,0.99448276,1.0165839,1.011871,1.1034079,0.9777471,0.98274934,0.9613689,1.0651785,1.019669,1.0034571,0.8786632,1.0842614,1.1003197,1.0665584,1.0421505,0.92945987,1.0135783,1.0569533,0.92917526,1.0561072,1.113995,0.8914759
cell_0111,1.0677187,0.81916165,0.9535012,1.0091131,1.0018315,1.0419608,0.8488473,1.0666196,0.9976815,1.0537614,0.9777132,0.93340856,0.933734,0.9782014,1.0843215,0.9869743,0.9997188,1.0790032,0.9636877,1.1574275,1.0716662,1.0542706
cell_0112,0.9632466,0.9941701,1.0001719,1.0696822,0.9737295,1.0323707,0.998099,1.1563468,1.0253191,0.9695186,1.0742087,0.96634984,1.066734,0.9437925,1.18925,0.92440534,1.0145645,1.0783004,0.9518515,0.9177179,0.96299917,1.1052201
cell_0113,1.0044589,0.9341336,1.0954123,0.97165024,0.94319516,1.0773543,1.0210108,1.0399652,0.995544,0.97544473,0.9067269,1.0266386,0.9326818,1.0471703,1.0402344,0.98058784,0.93945223,1.015996,0.9872184,1.0106982,1.1153662,1.0578578
cell_0114,0.98667806,0.9502016,0.9640486,0.98007125,1.0623295,1.1092665,0.9873847,1.1077838,0.91854805,1.0038726,1.1518874,0.9842667,0.9209296,0.95987666,0.9846278,1.0233278,1.0146672,1.0719186,1.112228,0.97416174,1.1484238,1.2376839
cell_0115,0.98534805,1.0193933,0.9525888,1.1318852,0.9967598,1.01607,1.0122223,0.94970983,0.91166157,1.0029359,0.9311952,1.1074842,1.0956762,0.99560153,0.94517124,0.9335895,0.93761146,1.0284235,0.92207646,0.99903196,0.98185635,0.9975648
cell_0116,0.9976386,0.974995,1.0697422,1.1947467,0.9685495,0.96211463,0.9323046,0.99914783,0.8925858,1.1421231,0.91490704,1.0166847,0.791993,0.99801683,0.92527765,0.90556264,1.2234023,0.9449398,0.9972453,0.94707435,1.0330342,0.9476931
cell_0117,0.98444974,0.94082767,1.0393068,0.9758413,1.0410726,0.8737668,0.8859111,0.7614219,1.0730795,0.93829745,1.0726775,1.0742123,1.1174152,0.8664404,1.0970732,0.8770325,0.958462,0.9912797,1.0073152,1.1422489,0.9959969,1.1077491
cell_0118,1.0468404,1.0378678,1.0456305,1.0633502,0.9520199,0.89274746,0.9653174,1.0653801,1.0415789,0.96876943,1.0777552,0.908382,1.0503209,0.8727256,0.9972151,0.9891722,0.8283216,1.0965936,0.8777786,1.0510571,1.0582358,1.1176761
cell_0119,1.0056117,0.9884067,1.0474347,0.9898738,0.94888145,1.0191158,1.0320711,0.8405269,0.9379332,1.0124317,1.064869,1.0262017,0.9205507,0.9183428,0.7664577,0.98110014,1.0458909,0.95868266,1.0659043,1.1229774,0.8544807,1.1470433
cell_0120,1.0024707,1.0906383,1.0499737,0.95057917,1.1156644,1.0239732,0.9404879,0.98622483,0.95304096,1.0071383,1.0243118,0.9642664,1.0942746,1.0476891,1.008033,1.018337,0.9806126,0.93367124,0.92450184,1.0068798,0.7844,1.0249277
cell_0121,1.0247296,1.0535686,1.071324,0.9667019,1.0181949,0.9738845,1.0281918,1.139363,0.9370823,1.0429631,0.92883193,1.0410551,1.0417459,0.9809026,1.1450264,0.8747965,0.8936024,0.77617943,1.0114466,0.9385077,0.91871643,0.8400708
cell_0122,1.0332797,1.075529,0.97993517,0.95652866,1.0245594,1.1044018,0.96166456,0.9584488,0.8731101,0.9165873,1.0957773,0.88651544,1.1617386,0.96677506,0.8009011,0.9294147,1.052142,1.1196009,0.99429965,1.1359528,0.85701734,1.0479008
cell_0123,1.0678252,1.0169686,0.93547523,1.0082726,1.0505279,0.99713266,0.9568188,1.3654869,0.9454095,1.0040722,1.0090332,0.9752134,1.0828357,1.0609732,0.88292193,0.8064903,1.0758615,1.0538422,0.89908665,1.0290185,1.0504953,1.1298068
cell_0124,1.0248842,1.024227,0.9946235,1.0368018,0.96351016,1.1172973,0.9520006,0.9464127,0.99187446,0.95177686,0.99717426,1.0134463,1.0983124,0.81301236,1.048506,1.0244021,1.0713141,1.0957001,0.943147,0.91224444,0.93155,1.1437403
cell_0125,1.0030302,1.1061321,1.0005448,0.94691485,1.090195,1.0167371,0.999664,0.9082331,1.0711069,1.0099202,1.065697,0.9467264,1.073586,1.0676352,0.9060958,0.83986354,0.9528741,0.9676088,0.95231354,0.9721335,0.94508976,0.95648736
cell_0126,0.9973459,0.91380537,1.0052818,1.0418749,1.0397755,1.0098245,0.93344176,0.80203956,0.83780867,0.9091118,1.0259331,1.0381445,0.9401878,0.9434677,1.0703816,1.0561575,1.0530422,0.96211344,0.8946466,0.82232153,1.0457108,0.95789146
cell_0127,0.98502636,0.9772625,0.9498617,1.0543333,0.9039266,1.0574168,0.9848076,1.1678634,0.96151626,0.99709547,1.0681993,1.0863299,0.96631366,0.9275988,0.97143334,1.0662352,0.8981431,1.0269157,1.027429,1.0040791,1.064396,1.2125139
cell_0128,1.0255386,0.991688,1.1187211,0.8016171,0.97590995,1.0612209,0.9957269,0.9414399,1.0334797,1.0361434,0.9258869,0.9460713,0.947459,0.87795955,1.0975738,1.0620215,1.0899047,0.8005099,0.9539942,0.88727134,0.96541107,0.86749536
cell_0129,0.9516659,1.0072492,1.0297087,1.0397651,0.9486815,1.0775598,0.88789177,0.78453606,0.95944786,1.0546635,0.962105,0.9469348,0.96566075,0.85215074,0.9650843,0.95744073,1.071928,0.8209742,1.1472995,1.0754256,0.8800897,1.01417
cell_0130,1.0211332,1.0562814,0.9514128,0.94504666,1.0329463,0.89761627,0.9061719,0.89486134,1.1692891,0.9941582,1.0161806,1.0111737,0.87768525,1.0952567,1.0354848,1.0997051,1.0713007,1.0002469,1.0438656,1.0971748,0.9653747,0.9732103
cell_0131,0.98007,0.9470638,0.99405247,1.13296,0.9718222,0.95272297,1.0614985,1.0036073,0.9199115,1.031906,0.85504556,1.0874445,0.90941906,0.9748719,0.97618276,1.1057357,1.0509458,1.0753244,1.077633,1.0412017,0.95108634,0.9107367
cell_0132,1.0287021,0.9881452,0.83947784,0.9509275,0.9601614,1.004785,0.925443,1.0935361,1.0982808,1.0141876,0.98067504,1.0479912,0.8275017,1.0029904,1.1640694,1.0039961,1.0342648,0.9580568,0.9951161,0.94283134,1.0871956,1.058386
cell_0133,1.0269088,0.9498474,1.0858452,0.877793,0.9395748,1.0823326,0.944166,0.8935791,1.0763755,0.93490934,1.0040696,1.0578738,1.04658,1.0643437,0.99759257,0.9928329,1.0146172,1.0041463,0.8826064,1.0561934,1.019398,0.9161998
cell_0134,1.0124457,1.052219,1.0062246,1.0392743,0.95801646,0.78910935,1.0583022,1.0161766,0.91010505,0.9868223,0.99187577,0.97880214,1.0245875,1.0085812,1.0204936,0.9906123,1.0077901,0.9479822,0.94223434,1.0026083,0.90044755,0.8550665
cell_0135,1.0100178,0.9914306,1.1119686,0.97407734,1.0192027,1.0513906,0.98113155,1.0033771,0.9525744,1.0323147,0.84365284,1.022313,1.0318924,1.0717945,1.0634912,1.0240675,1.0492476,1.0371765,1.0078481,1.1844532,0.8655641,1.0903735
cell_0136,0.91672593,0.97558016,1.0190843,0.93748003,0.91673166,0.8856152,1.039038,1.1147985,1.1645178,1.034339,1.1063782,0.9331218,1.0048759,0.9589032,0.9095682,0.8344704,1.0634387,1.0285301,0.98272747,0.9898021,1.0064508,0.99359244
cell_0137,1.0272174,1.0507766,0.8689308,1.055388,0.9839884,1.1174754,1.0207626,0.78826165,0.96649903,1.0246177,0.9690154,1.0619293,1.1528713,0.9362824,0.98076993,0.96248966,0.9232081,0.8622303,0.9866018,0.8482773,1.0208898,1.0095776
cell_0138,1.1115775,1.0350324,1.0733309,0.9944644,0.82603234,0.9976007,1.0213563,0.94267845,1.0082405,1.0001626,1.1155546,1.0496336,0.87193847,0.994791,1.0351031,0.93846655,0.9927611,0.9115869,1.1264005,0.98908633,0.72175086,0.8814605
cell_0139,0.97470635,1.0241605,1.002987,0.8909199,0.98969233,1.019524,0.9902164,1.1025114,1.0372547,0.9478186,0.9996001,0.8668244,1.0615513,1.1177138,1.1435901,1.0078399,1.0128042,0.93230975,0.9917579,0.98047364,1.1101692,1.0382637
cell_0140,0.94233704,1.0332276,1.1100767,0.9258718,0.944353,0.9673499,0.9496783,0.9633848,0.99540615,0.95358473,1.0788198,0.93831134,1.0174552,0.80823046,0.90287566,1.0339396,0.8760662,1.1351334,0.96895605,0.96432585,1.1371597,1.1165252
cell_0141,1.0345063,0.9592482,1.0304334,0.98559207,0.9233272,1.0557904,0.987734,0.89052504,0.9461074,0.9889382,0.9765902,1.0642084,1.0244516,1.0316485,0.8622728,1.009943,1.0014857,0.9598047,1.0006188,1.0066515,0.9686984,1.1159523
cell_0142,1.0512564,0.99588555,0.90183264,1.0602658,1.0461943,1.0932705,1.0539747,1.1242697,0.9664553,0.99835765,1.0709376,0.9464815,0.9488486,0.7210246,0.95881975,1.0358384,1.0100757,0.9976341,1.0474446,0.969421,0.9322752,0.8255398
cell_0143,1.0624676,0.9742093,0.82563424,0.93052435,1.1017008,0.9991983,0.9379264,1.0201393,1.0910386,1.0655677,0.93017334,0.9817789,1.0318327,0.9727872,0.8805491,0.9594916,1.2347816,0.86579037,1.0131356,0.89915323,1.0011002,1.0388418
cell_0144,0.8744853,0.882153,1.0478389,0.90962726,0.970099,1.0000465,1.129572,0.92318773,1.0553929,1.0305918,0.979301,0.9067249,1.1695751,1.1789455,0.8285959,1.1478357,1.0742507,0.9349694,0.8651616,0.8584509,1.0800254,1.0981771
cell_0145,0.9511628,1.0357286,1.068221,0.9873944,1.0885723,0.8772899,0.9763186,0.8274402,1.0754954,0.9295004,0.9050617,0.94607127,1.0717444,0.99545425,0.9606024,0.92366004,1.0897714,0.9160732,0.98354733,1.0257916,1.076782,1.1348786
cell_0146,0.9837643,0.922727,0.92508376,1.0291368,1.0345747,1.0358585,0.9761003,0.92523134,1.0114615,1.0886931,0.8638414,1.0254762,1.1085826,0.93124807,0.93451613,0.9864932,0.9159726,1.1267551,1.102338,1.0669638,0.8286154,0.9754176
cell_0147,1.0048518,1.045113,0.9139611,1.0204145,0.89894676,1.0174398,1.0747087,0.9391952,0.9905513,0.98308337,1.0613374,1.0085025,1.0014722,1.116075,1.0048534,0.96805036,1.0969167,1.0255425,0.8847034,0.79332733,1.1481881,0.88509685
cell_0148,1.0225554,1.0656667,1.0054889,1.1019402,0.9903394,0.9790113,0.95392793,1.0259529,0.97920287,0.9065274,0.984735,1.0180879,1.0424238,0.8990822,1.0789515,0.9414845,0.9680244,1.0199115,1.1690235,1.0385973,0.89144963,0.85359764
cell_0149,0.94655764,1.0629011,1.0213019,1.026545,1.0050647,1.0735079,0.976769,0.9363662,1.023034,0.87210196,1.0328131,0.97950757,0.94877356,1.1068125,1.0822988,0.9863475,1.1035094,0.8949773,1.0791199,0.96767825,1.0339342,0.99109524
cell_0150,0.92972493,0.92252773,0.9934988,0.9667355,1.0232605,0.9291176,1.0208175,1.0364882,0.9536967,0.95554143,1.0075921,0.9086211,1.1998171,0.9321946,0.88104576,1.0601522,1.0942695,0.93330675,0.97346574,0.98504716,0.8481316,1.0333008
cell_0151,0.9927916,0.91546744,0.92919356,0.85176075,1.0786129,0.8184946,1.1607422,1.0032302,1.0688404,1.0683198,0.91598636,0.98792964,1.0753889,1.0363338,0.9340528,1.0764562,0.9828413,0.7364439,0.9444564,1.0300062,0.9799393,0.9902052
cell_0152,1.0314022,0.9805783,0.891541,0.9540746,0.9942763,0.99033463,0.98134476,1.0665493,1.0010384,0.9853726,0.9774628,1.0469974,1.1240276,0.9731801,0.94983065,0.8260712,0.90100026,1.0660777,0.95880765,0.92447466,1.037886,1.014348
cell_0153,1.0025685,0.9913206,0.9327284,0.9577504,0.97373396,1.0053345,0.9930086,1.100674,1.0030657,0.9780991,0.93674296,1.0029774,0.9287267,1.1887896,0.902249,0.9307876,1.0019879,0.8819166,0.914648,1.0801532,1.1393386,0.8864014
cell_0154,0.9528153,1.0330143,1.0141903,0.9985989,1.008789,1.0106032,1.0615146,0.90082055,1.05482,1.0120333,1.0403254,1.0037729,1.1426648,0.94153434,0.7764832,1.0845225,1.0388821,0.931609,1.0478822,1.1427864,1.1213583,0.83042866
cell_0155,0.8858809,1.138034,0.9492293,1.0498086,0.95916843,1.0766532,0.9638429,0.882133,1.0782317,1.0570202,0.91666025,1.0451287,0.9502286,0.8726206,0.97455025,1.0494621,1.0407454,0.9369848,0.967729,1.1383712,0.9786955,1.1104442
cell_0156,0.90976554,1.095336,0.9003777,0.9581364,1.0232577,1.2229666,0.9862339,1.1391535,0.93506634,0.99204504,0.99948514,1.0298281,0.95650506,0.91548467,0.87655795,0.9526114,0.93294567,1.1071756,0.94129276,0.9664911,1.0567342,1.1633339
cell_0157,0.9439415,1.056439,0.85312957,0.96831316,1.1706111,1.1379507,1.0190271,0.98122466,0.89402497,0.9807631,1.0115615,0.9526785,0.9788458,0.7970295,1.137169,1.0970803,1.0461235,1.1599056,0.9542919,1.1210732,1.076854,1.0310055
cell_0158,0.96549654,0.94076127,1.0769142,0.9562181,0.98446184,0.95323807,0.9787619,0.9814587,0.8184129,0.9889623,0.97669804,0.95736665,0.92474145,1.0633548,1.069324,1.06935,1.0273123,1.094492,1.0900406,0.9864302,1.0898378,1.0660084
cell_0159,1.0322847,1.0291784,1.0198673,0.9963831,0.9589307,0.98134965,0.9752238,1.1032966,1.0148308,1.0885264,1.0671595,1.0041207,0.9788504,1.1651028,1.03505,0.95988584,0.96121097,1.0668666,0.9302485,0.9737228,1.1047945,0.9459509
cell_0160,1.0803488,0.99496406,0.98724574,1.13689,0.9125975,0.91568244,0.93690354,0.8839144,0.9929321,1.0999582,1.0336714,0.96389383,0.9274157,1.1270283,0.9417794,0.8879628,1.0406253,0.91864264,1.017031,0.9868861,1.1051896,0.93261766
cell_0161,0.98157763,1.0079814,1.0799772,1.0670358,0.9219523,0.9989296,1.0796648,1.0465418,0.9018843,0.93854094,1.039578,1.083821,0.9569625,0.99076205,1.1438986,1.031521,1.0446725,0.80777013,1.0818746,0.9484177,0.91486055,0.92548853
cell_0162,0.9246082,1.0389187,1.0245694,0.9631042,1.0229608,0.9964576,1.0721185,0.6416559,0.88586515,1.0487157,0.90096897,0.9408673,1.0243833,0.9538325,1.0906509,1.0412135,1.0709914,0.8802756,0.8462057,1.1341357,1.1679108,1.0741606
cell_0163,0.9518765,0.8366161,1.2106447,0.9924277,1.0076303,1.024826,0.91593075,1.0673554,1.036835,1.0412469,0.9650872,1.0075334,0.80451435,1.0245439,0.9925163,1.061823,0.98245126,0.965095,1.0460227,0.92128056,0.79804504,1.2020077
cell_0164,1.1664616,1.0332263,1.1720966,0.9005554,1.0092041,1.0998576,0.8784805,1.0053358,1.1213702,0.99299395,0.8855768,0.97109723,0.92063963,0.9235525,0.9287389,0.9327216,1.0609149,0.90195435,0.9524086,0.88008463,1.1895958,1.1414309
cell_0165,0.94907075,0.97879916,0.9663305,0.83224773,1.0164052,1.0341747,1.0154513,1.0771,1.0255938,0.9708748,1.1103843,1.0346161,1.0667348,1.0375866,0.97231203,1.014426,0.92774785,1.0034825,1.1140374,1.07426,1.1281039,0.9030004
cell_0166,0.98991853,1.0728718,0.9289732,0.9096049,0.9299147,1.0779916,0.92836714,0.8298356,0.9145986,0.93676865,1.075994,0.9662439,1.1213477,1.0493872,0.98328924,1.0080153,1.0894926,1.1022172,0.97055686,0.95260715,0.8697827,0.8780163
cell_0167,1.041927,0.92446214,1.072188,1.0595281,1.0426432,1.0773466,1.0433342,0.83866596,1.0074159,0.9667492,0.8761766,0.97475266,1.0842402,0.94237334,0.93643177,0.97197497,1.096172,1.0158061,1.0528688,1.0648472,1.0065222,0.94227266
cell_0168,1.019318,1.0153589,0.91326535,0.9665697,0.9696672,1.084407,1.0609196,0.90957916,0.96810853,1.0137211,0.9752146,0.9239186,0.99118143,0.92442733,0.96077394,0.9927689,0.9810771,0.97043884,0.95618063,0.90216976,0.9735741,1.0733662
cell_0169,1.0149766,1.1451985,0.95772696,0.8937378,0.9767334,1.0203712,1.0592946,0.8315766,0.8631112,0.98888856,1.0368224,0.99368525,1.1281693,1.0817657,1.0511435,1.1453911,1.222937,1.0357252,0.97399,0.9111352,0.8731556,0.8391278
cell_0170,1.0385835,0.8999673,1.0033458,0.9271935,1.0708889,1.0794864,1.0254164,0.90198225,1.0390675,1.0398155,0.99845725,1.0160671,0.87798893,1.0412734,1.0350364,0.971763,0.9868791,1.0196809,0.99457884,1.0949739,1.0063889,0.9128933
cell_0171,0.987998,1.034925,0.93006283,1.0353893,0.9323832,1.0774583,0.9984271,0.8703409,0.9257827,0.96721214,1.0554918,0.982849,0.82897717,1.0775095,0.9568366,0.97577214,0.90513796,1.0378447,0.9304304,1.0120997,0.77227,1.1428375
cell_0172,0.97206247,1.0142903,1.0737401,1.0800675,0.9830571,0.9277878,0.97465354,1.065049,0.9414886,1.0679958,1.0626037,0.9874148,0.98150975,1.0027336,0.9749643,0.93471897,0.9165278,0.929995,1.0081707,1.0667728,1.1228064,1.1007438
cell_0173,1.077472,1.0462606,0.92151743,1.0743673,0.97179717,1.019603,0.9859803,1.1147833,1.0017129,1.0598345,0.93888706,0.87482697,1.1820345,0.9040744,1.0402632,0.98388886,1.038482,1.0060421,0.9500085,0.8182365,0.7867095,0.7695091
cell_0174,1.0640477,1.0335202,0.8762485,1.1286685,0.95367104,1.0264931,0.9469763,1.0442433,0.88039756,0.99340004,1.0264987,0.9833631,1.1330698,1.0012424,1.1863947,0.87188065,0.8987684,0.9308116,1.0224681,0.96721894,0.81688637,1.0524406
cell_0175,1.0542898,1.0804563,0.9607195,1.0344933,0.9987836,0.9503244,0.9883064,0.9325796,0.9223919,1.0217174,0.98840016,1.0110024,0.9983063,1.0126603,1.123764,0.9875872,0.97217095,1.024607,1.023252,0.89491,1.0185169,0.9257251
cell_0176,0.9410554,1.0550286,1.0773718,0.9700222,0.8579445,0.964262,1.0355384,1.0632668,0.9185257,0.96421313,1.0424849,0.95682794,0.9946324,0.9563849,1.0446428,0.92483383,0.8910174,0.9562636,1.0984488,0.9167172,0.87088937,0.9704562
cell_0177,1.0102423,1.0069855,0.95354074,1.0344299,1.0146923,1.0068672,0.9143045,0.9870066,0.8832566,1.0810668,1.042452,0.90470207,0.95709604,0.97580254,0.8588371,1.002233,1.0705806,1.0725205,0.9286786,1.1646081,1.0308441,1.0034418
cell_0178,1.1093148,1.0228844,1.0241728,0.93310374,1.0829974,0.9231192,0.96219563,0.9845915,1.0433087,0.95564055,0.84650344,1.0934557,1.0110077,1.058325,1.0614934,0.98593324,0.8450634,0.8469782,0.9829694,0.925134,0.9373734,0.9858048
cell_0179,0.9187211,1.0157294,1.0630897,1.1197588,0.8858371,1.0386312,1.0847903,0.88033503,1.025939,0.9883564,1.0433028,1.0227201,1.0280845,0.998001,1.0218174,1.0523796,0.9811896,0.9789604,0.92302525,0.9691359,0.9181181,1.0255623
cell_0180,0.88244367,1.0106679,1.0579877,1.0749387,0.959192,0.99365675,1.0703049,1.0345882,1.0402069,1.0124663,1.0325571,0.938364,1.0574834,1.038069,1.0324881,0.87119246,1.036153,0.87799406,0.9655453,1.0785297,0.84900254,0.9743848
cell_0181,0.96817166,0.96158314,1.060888,1.0016882,0.9825386,1.0145085,0.9056852,1.0401005,1.1257384,0.9633589,0.9553848,0.92922807,1.1041226,0.9101015,1.1277937,0.94519085,1.1427283,1.0027328,1.048398,1.1560364,1.0722033,0.8751647
cell_0182,0.9438975,1.0625352,0.92124337,1.0231228,0.9575227,0.9404209,1.005344,0.9488749,0.95473504,1.0758693,1.023148,1.04742,0.84938717,0.8924349,1.0214556,1.0072309,1.0262192,0.9266655,1.0312196,0.86472785,0.9681576,0.88144135
cell_0183,1.010142,1.0108441,0.90947276,0.84837633,1.0225323,1.1822278,0.97210455,0.8788818,1.0307237,1.0260203,0.99443305,1.0012197,0.9505939,1.063422,0.91771495,0.9477809,1.0015436,0.89225566,0.9512666,0.9575039,0.76979166,0.9362413
cell_0184,0.9753595,1.0681642,1.023558,1.002617,0.89412117,1.0539503,0.990144,1.1386839,1.0559343,0.906306,1.0365394,0.8550892,0.9689992,1.0149145,1.0580853,0.98410773,0.88158625,1.0057843,0.94988626,1.0402699,1.1098253,0.8447485
cell_0185,0.9130913,0.96408033,0.953746,1.0076189,0.78337944,0.939951,1.0659779,1.0504779,1.0672687,1.0471568,0.9188051,0.9668528,0.97543275,1.178528,1.070878,0.96525574,0.8947334,1.0356212,0.90668523,0.95477974,1.1147727,0.86123294
cell_0186,0.95197767,0.9600908,0.9367518,0.8866488,0.9976267,1.0638459,1.003945,0.8421279,1.0126354,0.9792495,1.0977485,0.9798907,1.2854942,0.90677875,0.78388137,0.97321326,0.95374674,0.9469763,1.1306773,0.9074115,1.1387323,1.2191969
cell_0187,1.0366862,1.0035696,1.114628,1.0157367,1.0184023,0.9952478,0.9472678,1.1452575,0.9494575,1.0403514,0.9083098,1.0353956,1.092885,0.96603155,0.89835894,0.9787846,0.9835884,0.9975033,1.1305896,1.0184157,0.89452,0.8970835
cell_0188,0.9712279,1.1663365,0.93006444,0.88029766,0.98866796,0.89561665,1.0584829,0.98386776,1.0236813,1.0451744,1.0291853,0.9532894,0.9557943,1.1327097,1.0524184,1.0863205,0.96479845,0.85754275,0.9714173,0.90819615,0.9828235,1.0141098
cell_0189,0.99837154,1.0195427,1.0995766,0.9525613,0.99202377,0.995324,0.86079437,1.0078505,1.0469173,1.0884068,0.9915656,0.9529482,1.0644858,1.0645738,1.076207,1.1187304,0.9590914,1.0920029,0.94430536,0.9123778,1.0720518,1.1269584
cell_0190,0.90307367,0.94937944,1.117853,1.0394523,1.0029706,1.0957696,0.97022605,1.2062676,0.97755796,0.9649102,0.9390282,1.013169,0.9944197,1.0209155,1.0140864,1.054245,0.9508709,1.0366445,1.081028,1.0271028,0.9666221,1.1089039
cell_0191,0.9745404,0.92473984,0.984164,0.9433825,0.9994898,0.93851054,0.95808685,1.0102141,0.9674419,1.0621367,0.98164177,0.9952916,1.0343019,1.0197539,1.067135,0.9832213,1.026558,1.002415,1.1497642,1.1127143,1.1343864,0.95642483
cell_0192,0.9879822,0.9856305,0.8700367,1.0700973,0.9009186,1.0347677,0.99781156,1.0773177,1.0100584,0.8714295,0.9674371,1.0376267,1.0277178,0.97749996,0.9312518,1.0298418,1.0703845,1.0697792,0.90621334,0.97511536,0.832937,1.0347803
cell_0193,1.0452343,0.92889696,1.0196205,1.1337202,1.1825335,1.0444666,1.0519112,1.1189458,0.98235935,1.0253145,0.98320335,0.88239264,1.0783249,1.008176,0.9896397,1.0297918,0.86828834,0.91816956,0.9262576,0.8952993,1.0605707,1.1012998
cell_0194,1.012505,0.9816879,1.0143685,0.95944893,0.96511126,0.94502854,0.9640345,0.99306357,0.9755841,1.0400871,0.9502023,0.91909105,1.0616481,0.9193975,0.88772756,1.010839,0.9780019,1.171883,1.024232,1.1046194,1.1305077,1.1100204
cell_0195,0.9944805,1.0967995,0.9810994,1.0627464,0.9964018,0.98551387,1.0065899,0.81880736,1.0280079,0.93071234,1.1314453,0.9837716,1.0602047,0.9554675,1.0512866,1.0503116,0.9780933,1.1003608,0.99706465,1.0467173,1.0895023,0.92894757
cell_0196,0.9934082,0.9424432,0.9324977,0.96078014,1.0066148,0.9930196,1.0925784,1.0315943,0.9858254,1.0284902,0.9463507,1.0924256,0.94603914,0.9222334,1.0477309,0.9232054,0.9586234,0.91233945,0.9806151,1.0013878,0.89963305,0.9468874
cell_0197,1.0194813,0.98049086,0.93339634,0.9730245,1.1480174,0.9677921,1.1090045,1.2513762,1.0185553,0.97994053,1.0101004,0.9775423,1.0155122,0.94664335,1.0420702,1.0228605,0.9984387,1.0554081,0.9376204,0.84750587,1.0387194,0.9354449
cell_0198,0.8758146,1.031576,0.9942355,1.050942,0.88237405,1.1151772,1.0827446,0.92762184,1.1017935,0.98113126,1.1290364,0.9793044,1.0521936,0.97604895,0.964608,0.98211306,0.90764195,0.9041094,0.83876336,0.7686189,1.1974156,1.010094
cell_0199,0.9528144,0.9309705,1.1556286,0.9875301,0.9986235,1.1566004,1.0233805,1.0948713,0.91656345,0.91232,1.0253131,0.9966174,1.1379031,0.8822807,1.0194896,0.9177224,1.0152819,0.95520157,1.0583085,1.2713646,1.1368768,0.93687385
cell_0200,0.9569617,1.0148149,0.89652234,0.91419476,0.8422545,0.9059283,1.5883623,3.8908365,0.82982224,0.35466596,0.95882994,0.8548099,1.0430402,0.80332637,0.9788263,0.9070411,0.79052114,0.9450424,0.84119076,0.996003,0.9687853,0.8631963
cell_0201,0.92792803,0.87570643,0.93871593,0.95475733,0.8477534,0.9515575,1.8627753,3.5304391,0.9355704,0.3235891,0.8513106,0.8864396,0.8866488,0.9684029,0.86668414,0.8908578,0.9120988,0.82203966,0.77645,0.8994332,0.81615746,1.0843759
cell_0202,0.90353507,0.93763024,0.85186034,0.7801809,0.90267897,0.8277283,1.8077905,4.1034555,0.79786867,0.3617172,0.9457457,0.803174,0.947341,0.97596043,0.80445856,0.98584074,0.8944982,0.91646,0.87230796,1.0797644,1.0860449,0.9158094
